#    L    TT             EE             BB             TE             PP             TP             EP          
   198   0.382399E+04   0.672312E+00   0.000000E+00  -0.120780E+02   0.584769E-07   0.148957E-03  -0.467961E-06
   199   0.385877E+04   0.669677E+00   0.000000E+00  -0.113243E+02   0.581464E-07   0.148638E-03  -0.445437E-06
   200   0.389342E+04   0.667827E+00   0.000000E+00  -0.105370E+02   0.578200E-07   0.148272E-03  -0.423201E-06
   201   0.392779E+04   0.666798E+00   0.000000E+00  -0.971381E+01   0.574981E-07   0.147850E-03  -0.401323E-06
   202   0.396184E+04   0.666628E+00   0.000000E+00  -0.885504E+01   0.571805E-07   0.147373E-03  -0.379811E-06
   203   0.399553E+04   0.667353E+00   0.000000E+00  -0.796119E+01   0.568671E-07   0.146841E-03  -0.358656E-06
   204   0.402884E+04   0.669010E+00   0.000000E+00  -0.703306E+01   0.565580E-07   0.146257E-03  -0.337852E-06
   205   0.406174E+04   0.671636E+00   0.000000E+00  -0.607136E+01   0.562530E-07   0.145622E-03  -0.317393E-06
   206   0.409420E+04   0.675265E+00   0.000000E+00  -0.507674E+01   0.559521E-07   0.144938E-03  -0.297270E-06
   207   0.412621E+04   0.679938E+00   0.000000E+00  -0.404984E+01   0.556551E-07   0.144207E-03  -0.277477E-06
   208   0.415774E+04   0.685688E+00   0.000000E+00  -0.299155E+01   0.553621E-07   0.143431E-03  -0.258007E-06
   209   0.418879E+04   0.692553E+00   0.000000E+00  -0.190266E+01   0.550729E-07   0.142611E-03  -0.238852E-06
   210   0.421935E+04   0.700571E+00   0.000000E+00  -0.784020E+00   0.547875E-07   0.141750E-03  -0.220006E-06
   211   0.424939E+04   0.709777E+00   0.000000E+00   0.363564E+00   0.545058E-07   0.140848E-03  -0.201462E-06
   212   0.427892E+04   0.720208E+00   0.000000E+00   0.153925E+01   0.542277E-07   0.139909E-03  -0.183211E-06
   213   0.430792E+04   0.731901E+00   0.000000E+00   0.274222E+01   0.539532E-07   0.138932E-03  -0.165248E-06
   214   0.433638E+04   0.744893E+00   0.000000E+00   0.397164E+01   0.536822E-07   0.137922E-03  -0.147566E-06
   215   0.436428E+04   0.759215E+00   0.000000E+00   0.522665E+01   0.534147E-07   0.136878E-03  -0.130156E-06
   216   0.439160E+04   0.774910E+00   0.000000E+00   0.650639E+01   0.531505E-07   0.135803E-03  -0.113013E-06
   217   0.441831E+04   0.792010E+00   0.000000E+00   0.780995E+01   0.528896E-07   0.134698E-03  -0.961283E-07
   218   0.444441E+04   0.810543E+00   0.000000E+00   0.913658E+01   0.526319E-07   0.133566E-03  -0.794958E-07
   219   0.446985E+04   0.830554E+00   0.000000E+00   0.104853E+02   0.523773E-07   0.132409E-03  -0.631082E-07
   220   0.449463E+04   0.852073E+00   0.000000E+00   0.118553E+02   0.521259E-07   0.131227E-03  -0.469584E-07
   221   0.451874E+04   0.875130E+00   0.000000E+00   0.132457E+02   0.518774E-07   0.130022E-03  -0.310394E-07
   222   0.454213E+04   0.899769E+00   0.000000E+00   0.146555E+02   0.516319E-07   0.128798E-03  -0.153440E-07
   223   0.456480E+04   0.926013E+00   0.000000E+00   0.160839E+02   0.513893E-07   0.127554E-03   0.134705E-09
   224   0.458675E+04   0.953898E+00   0.000000E+00   0.175300E+02   0.511494E-07   0.126294E-03   0.154039E-07
   225   0.460795E+04   0.983448E+00   0.000000E+00   0.189927E+02   0.509123E-07   0.125018E-03   0.304705E-07
   226   0.462838E+04   0.101471E+01   0.000000E+00   0.204712E+02   0.506779E-07   0.123729E-03   0.453417E-07
   227   0.464803E+04   0.104770E+01   0.000000E+00   0.219644E+02   0.504460E-07   0.122428E-03   0.600244E-07
   228   0.466689E+04   0.108246E+01   0.000000E+00   0.234716E+02   0.502166E-07   0.121117E-03   0.745258E-07
   229   0.468494E+04   0.111901E+01   0.000000E+00   0.249916E+02   0.499898E-07   0.119798E-03   0.888529E-07
